Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet
WX110030_A175	NC[C@@H]1[C@H]2CN(c3ccncn3)C[C@@H]12	95935233	FCNXFDSORRCQQY-CBLAIPOGSA-N	[(1R,5S)-3-pyrimidin-4-yl-3-azabicyclo[3.1.0]hexan-6-yl]methanamine		0												
WX632011	N/C(Cc1cccc(Cl)c1)=N\O				GET JSON failed: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/N%2FC%28Cc1cccc%28Cl%29c1%29%3DN%5CO/property/CanonicalSMILES,InChIKey,IUPACName/JSON: HTTP Error 400: PUGREST.BadRequest	0												
WXFS0318	CC(C)(C)OC(=O)N1CCC(F)(CN)CC1	40152119	FCYNTMBZASDPHJ-UHFFFAOYSA-N	tert-butyl 4-(aminomethyl)-4-fluoropiperidine-1-carboxylate		0												
WX141617_AN0158ZZ0000	NC1CCc2onc(CN3CC[C@@H](O)C3)c2C1	155876541	BRAONHBMBIZVHG-YGPZHTELSA-N	(3R)-1-[(5-amino-4,5,6,7-tetrahydro-1,2-benzoxazol-3-yl)methyl]pyrrolidin-3-ol		0												
WX601534	CC(C)(C)OC(=O)N1CCC(CN)(C(F)(F)F)C1	53417434	AHOVYALWYSSMRR-UHFFFAOYSA-N	tert-butyl 3-(aminomethyl)-3-(trifluoromethyl)pyrrolidine-1-carboxylate		0												
WX110546	CC(C)(C)OC(=O)N1C[C@H]2C[C@H](CN)O[C@H]2C1	52324511	VKZFHDQGLQGCGB-BBBLOLIVSA-N	tert-butyl (2R,3aR,6aR)-2-(aminomethyl)-2,3,3a,4,6,6a-hexahydrofuro[2,3-c]pyrrole-5-carboxylate		0												
WX601341	CC1(CN)CCCCN(C(=O)OC(C)(C)C)C1	118798590	KFWLROPMPGMJNO-UHFFFAOYSA-N	tert-butyl 3-(aminomethyl)-3-methylazepane-1-carboxylate		0												
WX110044	CC(C)(C)OC(=O)N1C[C@H]2CC[C@H](CN)[C@H]2C1	71306002	GBPFKXPJCJSCBK-GMTAPVOTSA-N	tert-butyl (3aR,4S,6aS)-4-(aminomethyl)-3,3a,4,5,6,6a-hexahydro-1H-cyclopenta[c]pyrrole-2-carboxylate		0												
WX690180	N/C(Cc1cccc(Br)c1)=N/O				GET JSON failed: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/N%2FC%28Cc1cccc%28Br%29c1%29%3DN%2FO/property/CanonicalSMILES,InChIKey,IUPACName/JSON: HTTP Error 400: PUGREST.BadRequest	0												
WX110661	CC(C)(C)OC(=O)N1C[C@@H]2[C@H](CN)CO[C@@H]2C1	124242249	SCNZIMGXJYWNJL-OPRDCNLKSA-N	tert-butyl (3R,3aS,6aS)-3-(aminomethyl)-2,3,3a,4,6,6a-hexahydrofuro[2,3-c]pyrrole-5-carboxylate		0												
WX101828	CC(C)(C)OC(=O)N1CC2(C1)OCCC2N	72207892	LSACGXFQGVBFLY-UHFFFAOYSA-N	tert-butyl 8-amino-5-oxa-2-azaspiro[3.4]octane-2-carboxylate		0												
WX100056	CC(C)(C)OC(=O)N1CCC2(CC1)CC(N)CO2	46835582	GBLUNQGZHFQTPW-UHFFFAOYSA-N	tert-butyl 3-amino-1-oxa-8-azaspiro[4.5]decane-8-carboxylate		0												
WX100330	CC(C)(C)OC(=O)N1CCC2(CC(N)C2)C1	56962195	TWNDWKDXPSDFLL-UHFFFAOYSA-N	tert-butyl 2-amino-6-azaspiro[3.4]octane-6-carboxylate		0												
WX140089	CC(C)(C)OC(=O)N1CCCn2c(CN)nnc2C1	71305798	SPRWBMLFGUVARD-UHFFFAOYSA-N	tert-butyl 3-(aminomethyl)-5,6,7,9-tetrahydro-[1,2,4]triazolo[4,3-a][1,4]diazepine-8-carboxylate		0												
WX111709	NC12CCN(C(=O)OCc3ccccc3)C1CC(=O)N2	121229807	FAPDWHJYURETBM-UHFFFAOYSA-N	benzyl 3a-amino-5-oxo-3,4,6,6a-tetrahydro-2H-pyrrolo[3,2-b]pyrrole-1-carboxylate		0												
WX604746	CC(C)(C)OC(=O)N[C@H]1COC[C@H]1N	90436776	HWYDCYLRWDJCCH-RQJHMYQMSA-N	tert-butyl N-[(3R,4S)-4-aminooxolan-3-yl]carbamate		0												
WX604220	CC(C)(C)OC(=O)N1C[C@@H](N)[C@H](O)C1	11275699	MOZOQDNRVPHFOO-RNFRBKRXSA-N	tert-butyl (3R,4R)-3-amino-4-hydroxypyrrolidine-1-carboxylate		0												
WX601147	CC(C)(C)OC(=O)N1CC[C@@H](O)[C@H](N)C1	10584836	LUQURLQDYAJECW-HTQZYQBOSA-N	tert-butyl (3R,4R)-3-amino-4-hydroxypiperidine-1-carboxylate		0												
WX111702	CC(C)(C)OC(=O)N1C[C@H](N)[C@H]2OCC[C@H]21	124556090	NWSWQZIICCESNY-DJLDLDEBSA-N	tert-butyl (3aR,6S,6aR)-6-amino-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]pyrrole-4-carboxylate		0												
WX110057	CC(C)(C)OC(=O)N1C[C@H]2CCC[C@H](N)[C@H]2C1	71306004	IKTNEZKFSOMQJI-VWYCJHECSA-N	tert-butyl (3aR,4S,7aS)-4-amino-1,3,3a,4,5,6,7,7a-octahydroisoindole-2-carboxylate		0												
WX600114	CC(C)(N)Cc1ccc2ccccc2c1	15369616	MUSKTCTZFQZRIL-UHFFFAOYSA-N	2-methyl-1-naphthalen-2-ylpropan-2-amine		0												
WX141618_HU0024ZZ0000	CS(=O)(=O)NCc1noc2c1CC(N)CC2	155872146	NEOKHJGYSCUMRH-UHFFFAOYSA-N	N-[(5-amino-4,5,6,7-tetrahydro-1,2-benzoxazol-3-yl)methyl]methanesulfonamide		0												
WX603129	NCc1ccc(Br)cn1	49761678	AUIXMWKVLPXKGC-UHFFFAOYSA-N	(5-bromo-2-pyridinyl)methanamine		0												
WX141616_AN0008ZZ0000	NC1CCc2onc(C(=O)N3CCCC3)c2C1	155871507	GZFKBLMUEAOERH-UHFFFAOYSA-N	(5-amino-4,5,6,7-tetrahydro-1,2-benzoxazol-3-yl)-pyrrolidin-1-ylmethanone		0												
WX601293	CC1(CN)CN(C(=O)OC(C)(C)C)C1	57415859	NUSZXESXGDKVCH-UHFFFAOYSA-N	tert-butyl 3-(aminomethyl)-3-methylazetidine-1-carboxylate		0												
WX110036_Y15	N[C@]12CC1CN(C(=O)c1ccco1)C2	121229380	IHWUOFILXCXWTK-MHPPCMCBSA-N	[(1R)-1-amino-3-azabicyclo[3.1.0]hexan-3-yl]-(furan-2-yl)methanone		0												
WX101513	CC(C)(C)OC(=O)N1CC[C@]2(C1)C[C@@H](N)C2	56962195	TWNDWKDXPSDFLL-UHFFFAOYSA-N	tert-butyl 2-amino-6-azaspiro[3.4]octane-6-carboxylate		0												
WX100128	CC(C)(C)OC(=O)N1CCC2(CC1)CC2CN	45791314	KUFZKQLFEAITSM-UHFFFAOYSA-N	tert-butyl 2-(aminomethyl)-6-azaspiro[2.5]octane-6-carboxylate		0												
WX604560	CC1(N)CCN(C(=O)OC(C)(C)C)CC1	11310432	DMBKWEHXTOCLTC-UHFFFAOYSA-N	tert-butyl 4-amino-4-methylpiperidine-1-carboxylate		0												
WX110754	CC(C)(C)OC(=O)N1CC[C@H]2OCCC[C@@]2(CN)C1	124518787	UUOBDYOZHPKZNH-BXUZGUMPSA-N	tert-butyl (4aR,8aR)-4a-(aminomethyl)-3,4,5,7,8,8a-hexahydro-2H-pyrano[3,2-c]pyridine-6-carboxylate		0												
WX603166	CC(C)(C)OC(=O)Nc1cccc(CN)c1	2756481	NXQNEOIMZVWHQW-UHFFFAOYSA-N	tert-butyl N-[3-(aminomethyl)phenyl]carbamate		0												
WX120567	CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](N)C2	11218405	NZJKEPNCNBWESN-PBINXNQUSA-N	tert-butyl (1S,5R)-3-amino-8-azabicyclo[3.2.1]octane-8-carboxylate		0												
WX604185	CC(C)(C)OC(=O)N1CCC(N)CC1	1268291	LZRDHSFPLUWYAX-UHFFFAOYSA-N	tert-butyl 4-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 4-aminopiperidine-1-carboxylate"""	exact_name	medium	Fluorine-containing FDA-approved small-molecule drugs in 2025: significance, synthetic insights, and therapeutic applications		PMC12983373	https://europepmc.org/article/PMC/PMC12983373	Mishra S, Jadala C, Cardoza S, Potuganti G, Velma G.	RSC Adv	
WX604185	CC(C)(C)OC(=O)N1CCC(N)CC1	1268291	LZRDHSFPLUWYAX-UHFFFAOYSA-N	tert-butyl 4-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 4-aminopiperidine-1-carboxylate"""	exact_name	medium	Evaluation of the Therapeutic Potential of Sulfonyl Urea Derivatives as Soluble Epoxide Hydrolase (sEH) Inhibitors.	2024	38998987	https://doi.org/10.3390/molecules29133036	Kundu B, Dvorácskó S, Basu A, Pommerolle L, Kim KA, Wood CM, Gibbs E, Behee M, Tarasova NI, Cinar R, Iyer MR.	Molecules	
WX604185	CC(C)(C)OC(=O)N1CCC(N)CC1	1268291	LZRDHSFPLUWYAX-UHFFFAOYSA-N	tert-butyl 4-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 4-aminopiperidine-1-carboxylate"""	exact_name	medium	Structure-Based Optimization of Pyrazinamide-Containing Macrocyclic Derivatives as Fms-like Tyrosine Kinase 3 (FLT3) Inhibitors to Overcome Clinical Mutations.	2024	38751627	https://doi.org/10.1021/acsptsci.4c00071	Zheng X, Chen Z, Guo M, Liang H, Song X, Liu Y, Liao Z, Zhang Y, Guo J, Zhou Y, Zhang ZM, Tu Z, Zhang Y, Chen Y, Zhang Z, Lu X.	ACS Pharmacol Transl Sci	
WX604185	CC(C)(C)OC(=O)N1CCC(N)CC1	1268291	LZRDHSFPLUWYAX-UHFFFAOYSA-N	tert-butyl 4-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 4-aminopiperidine-1-carboxylate"""	exact_name	medium	Indole-2-carboxamides Optimization for Antiplasmodial Activity.	2025	41112202	https://doi.org/10.1021/acsbiomedchemau.5c00058	Kumar M, Ahmad A, Aguiar ACC, Maluf SEC, Shamim A, Ferrer M, Souza GE, Gazarini ML, Pereira DB, von Geldern TW, Baud D, Jones B, Mondal SK, Willis PA, Guido RVC, Dias LC.	ACS Bio Med Chem Au	
WX604185	CC(C)(C)OC(=O)N1CCC(N)CC1	1268291	LZRDHSFPLUWYAX-UHFFFAOYSA-N	tert-butyl 4-aminopiperidine-1-carboxylate		5	paper	Europe PMC	"""tert-butyl 4-aminopiperidine-1-carboxylate"""	exact_name	medium	Targeting KRAS&lt;sup&gt;G13C&lt;/sup&gt; with cyclic linker based inhibitors to explore warhead orientation.	2025	41174214	https://doi.org/10.1038/s41598-025-22145-5	Kirschner T, Rodriguez J, Moreira EG, Niggenaber J, Warmuth JD, Verli H, Müller MP, Rauh D.	Sci Rep	
WX600333	CC(C)(CN)NC(=O)OC(C)(C)C	45072480	VFEPPZUGBHOHKH-UHFFFAOYSA-N	tert-butyl N-(1-amino-2-methylpropan-2-yl)carbamate		0												
WX601547	CC(C)(C)OC(=O)NC12CCC(N)(CC1)CC2	91800899	GRVKFPSOHUZDAY-UHFFFAOYSA-N	tert-butyl N-(4-amino-1-bicyclo[2.2.2]octanyl)carbamate		0												
WX603191	NCc1ccc(OCC(F)(F)F)nc1	16789486	ZZQBFHLZCABDRY-UHFFFAOYSA-N	[6-(2,2,2-trifluoroethoxy)-3-pyridinyl]methanamine		0												
WX110058	CC(C)(C)OC(=O)N1C[C@H]2CCC[C@@H](N)[C@H]2C1	71306000	IKTNEZKFSOMQJI-OUAUKWLOSA-N	tert-butyl (3aR,4R,7aS)-4-amino-1,3,3a,4,5,6,7,7a-octahydroisoindole-2-carboxylate		0												
WX601131	CC1(CN)CCCN(C(=O)OC(C)(C)C)CC1	118798191	WIJQXPPTCBFVFO-UHFFFAOYSA-N	tert-butyl 4-(aminomethyl)-4-methylazepane-1-carboxylate		0												
WX665219	CCOC(=O)CC1(N)CCN(C(=O)OC(C)(C)C)C1	118798429	BIENJLIIUBFKDP-UHFFFAOYSA-N	tert-butyl 3-amino-3-(2-ethoxy-2-oxoethyl)pyrrolidine-1-carboxylate		0												
WX601310	CC(C)(C)OC(=O)N1C[C@H](CN)[C@H](O)C1	59254357	AHJZEZIYOBGVSK-JGVFFNPUSA-N	tert-butyl (3S,4S)-3-(aminomethyl)-4-hydroxypyrrolidine-1-carboxylate		0												
WX110042	CC(C)(C)OC(=O)N1C[C@H]2CC[C@@H](N)[C@H]2C1	71306061	VMUXGMBHACBHJJ-KXUCPTDWSA-N	tert-butyl (3aR,4R,6aS)-4-amino-3,3a,4,5,6,6a-hexahydro-1H-cyclopenta[c]pyrrole-2-carboxylate		0												
WX601253	CC(C)(C)OC(=O)N1C[C@H](F)C[C@H]1CN	72207990	DADYKTRZKFJROI-SFYZADRCSA-N	tert-butyl (2S,4R)-2-(aminomethyl)-4-fluoropyrrolidine-1-carboxylate		0												
WX120552	CC(C)(C)OC(=O)N1C[C@H]2COC[C@@H](C1)[C@@H]2N	97112129	QYBPHULJRAEWEO-ULKQDVFKSA-N	tert-butyl (1S,5R)-9-amino-3-oxa-7-azabicyclo[3.3.1]nonane-7-carboxylate		0												
WX600105	CC(C)(C)OC(=O)N1CC(O)(CCN)C1	71306096	QSXRCDIVJJJTIH-UHFFFAOYSA-N	tert-butyl 3-(2-aminoethyl)-3-hydroxyazetidine-1-carboxylate		0												
WX110049	CC(C)(C)OC(=O)N1C[C@H]2C[C@H](N)C[C@H]2C1	58147576	DPYIUHWPQGIBSS-ULKQDVFKSA-N	tert-butyl (3aR,6aS)-5-amino-3,3a,4,5,6,6a-hexahydro-1H-cyclopenta[c]pyrrole-2-carboxylate		0												
WX619947	N=C(N)c1cccc(Cl)c1Cl	18544327	AJVCKUGPVGPLRM-UHFFFAOYSA-N	2,3-dichlorobenzenecarboximidamide		0												
WX604498	CC(C)(C)OC(=O)N1CCC(N)(CO)CC1	22975819	MQYPVGMYPYZMHJ-UHFFFAOYSA-N	tert-butyl 4-amino-4-(hydroxymethyl)piperidine-1-carboxylate		0												
WX110060	CC(C)(C)OC(=O)N1C[C@H]2CCC[C@@H](CN)[C@H]2C1	71305902	ATFHYPICLWVHFR-QJPTWQEYSA-N	tert-butyl (3aR,4R,7aS)-4-(aminomethyl)-1,3,3a,4,5,6,7,7a-octahydroisoindole-2-carboxylate		0												
WX110545	CC(C)(C)OC(=O)N1C[C@H]2CC(CN)O[C@H]2C1	45489930	VKZFHDQGLQGCGB-FIBVVXLUSA-N	tert-butyl (3aR,6aR)-2-(aminomethyl)-2,3,3a,4,6,6a-hexahydrofuro[2,3-c]pyrrole-5-carboxylate		0												
WX601408	C[C@H]1CC[C@H](N)CN1C(=O)OCc1ccccc1	95171263	MWKAMUJIXBCKIH-AAEUAGOBSA-N	benzyl (2S,5S)-5-amino-2-methylpiperidine-1-carboxylate		0												
WX141616_AK0010ZZ0000	NC1CCc2onc(C(=O)NCc3ccco3)c2C1	155873149	RUPVNBMYEMBMAR-UHFFFAOYSA-N	5-amino-N-(furan-2-ylmethyl)-4,5,6,7-tetrahydro-1,2-benzoxazole-3-carboxamide		0												
WX601400	C[C@@H]1CCN(C(=O)OCc2ccccc2)C[C@H]1N	59382836	SRPCZFCRBYSYDY-DGCLKSJQSA-N	benzyl (3S,4R)-3-amino-4-methylpiperidine-1-carboxylate		0												
WX111673	CC(C)(C)OC(=O)N1C[C@@H]2CCC[C@]2(CN)C1	66703911	LHUHSZDKNVVQSN-GWCFXTLKSA-N	tert-butyl (3aS,6aR)-3a-(aminomethyl)-1,3,4,5,6,6a-hexahydrocyclopenta[c]pyrrole-2-carboxylate		0												
WX601288	CC(C)(C)OC(=O)N1CCCCC(O)(CN)C1	82664679	GOTNKKDJDLFKAL-UHFFFAOYSA-N	tert-butyl 3-(aminomethyl)-3-hydroxyazepane-1-carboxylate		0												
WX604015	CC(C)(C)OC(=O)N1CCN(S(=O)(=O)CCN)CC1	17998886	FQXGBCXLSTWQHQ-UHFFFAOYSA-N	tert-butyl 4-(2-aminoethylsulfonyl)piperazine-1-carboxylate		0												
WX170041	CC(C)(C)OC(=O)N1CCC(N2CCC(N)CC2)CC1	53415311	AHAQZBVUGZUUMB-UHFFFAOYSA-N	tert-butyl 4-(4-aminopiperidin-1-yl)piperidine-1-carboxylate		0												
WX601284	CC(C)(C)OC(=O)N1CCCCC(F)(CN)C1	84031148	SBCDJBJDFDHWKQ-UHFFFAOYSA-N	tert-butyl 3-(aminomethyl)-3-fluoroazepane-1-carboxylate		0												
WX601108	CC(C)(C)OC(=O)N1CC(F)(F)C[C@H]1CN	72207733	MHRFRDWLNRHXMY-ZETCQYMHSA-N	tert-butyl (2S)-2-(aminomethyl)-4,4-difluoropyrrolidine-1-carboxylate		0												
WX604420	COC(=O)c1ccc(C2(N)CC2)cc1	45140209	JUMQWXLIAYMPHT-UHFFFAOYSA-N	methyl 4-(1-aminocyclopropyl)benzoate		1	paper	Europe PMC	"""methyl 4-(1-aminocyclopropyl)benzoate"""	exact_name	medium	Discovery of Novel, Selective Prostaglandin EP4 Receptor Antagonists with Efficacy in Cancer Models.	2023	37312837	https://doi.org/10.1021/acsmedchemlett.2c00495	Das D, Qiao D, Liu Z, Xie L, Li Y, Wang J, Jia J, Cao Y, Hong J.	ACS Med Chem Lett	
WX601231	CC1(N)CCCN(C(=O)OC(C)(C)C)CC1	83487056	PSAWVQOJMPWLAJ-UHFFFAOYSA-N	tert-butyl 4-amino-4-methylazepane-1-carboxylate		0												
WX100188	CC(C)(C)OC(=O)N1CC2(COC(CN)C2)C1	71305965	IXCHOXSIUCWEJS-UHFFFAOYSA-N	tert-butyl 7-(aminomethyl)-6-oxa-2-azaspiro[3.4]octane-2-carboxylate		0												
WX601070	CC1(N)CCN(C(=O)OC(C)(C)C)C1	57415917	KYRWEDDXBNZACB-UHFFFAOYSA-N	tert-butyl 3-amino-3-methylpyrrolidine-1-carboxylate		1	paper	Europe PMC	"""tert-butyl 3-amino-3-methylpyrrolidine-1-carboxylate"""	exact_name	medium	Treatment-Induced Tumor Dormancy through YAP-Mediated Transcriptional Reprogramming of the Apoptotic Pathway.	2020	31935369	https://doi.org/10.1016/j.ccell.2019.12.006	Kurppa KJ, Liu Y, To C, Zhang T, Fan M, Vajdi A, Knelson EH, Xie Y, Lim K, Cejas P, Portell A, Lizotte PH, Ficarro SB, Li S, Chen T, Chen T, Haikala HM, Wang H, Bahcall M, Gao Y, Shalhout S, Boettcher S, Shin BH, Thai T, Wilkens MK, Tillgren ML, Mushajiang M, Xu M, Choi J, Bertram AA, Ebert BL, Beroukhim R, Bandopadhayay P, Awad MM, Gokhale PC, Kirschmeier PT, Marto JA, Camargo FD, Haq R, Paweletz CP, Wong KK, Barbie DA, Long HW, Gray NS, Jänne PA.	Cancer Cell	
WX690071	N=C(N)c1ccc(Br)cc1	4436571	JODFDXUBCBQKNC-UHFFFAOYSA-N	4-bromobenzenecarboximidamide		0												
WX120124	CC(C)(C)OC(=O)N1C2COCC1CC(N)C2	18507041	PEAPNBGPRYMRNJ-UHFFFAOYSA-N	tert-butyl 7-amino-3-oxa-9-azabicyclo[3.3.1]nonane-9-carboxylate		0												
WX665196	CC(C)C[C@H](N)C(=O)OCc1ccccc1	6451313	MBRRYUQWSOODEO-LBPRGKRZSA-N	benzyl (2S)-2-amino-4-methylpentanoate		0												
WX600138	CC(C)(C)OC(=O)N1CC(O)(CN)C1	57415900	NVEHYSKQUSAZBP-UHFFFAOYSA-N	tert-butyl 3-(aminomethyl)-3-hydroxyazetidine-1-carboxylate		0												
WX604022	CC(C)(C)OC(=O)N1CCC(CCN)CC1	1514258	LBQDLHPFISVBRU-UHFFFAOYSA-N	tert-butyl 4-(2-aminoethyl)piperidine-1-carboxylate		4	paper	Europe PMC	"""tert-butyl 4-(2-aminoethyl)piperidine-1-carboxylate"""	exact_name	medium	Design and Synthesis of Nonpeptide Inhibitors of Hepatocyte Growth Factor Activation.	2016	26985294	https://doi.org/10.1021/acsmedchemlett.5b00357	Venukadasula PK, Owusu BY, Bansal N, Ross LJ, Hobrath JV, Bao D, Truss JW, Stackhouse M, Messick TE, Klampfer L, Galemmo RA.	ACS Med Chem Lett	
WX604022	CC(C)(C)OC(=O)N1CCC(CCN)CC1	1514258	LBQDLHPFISVBRU-UHFFFAOYSA-N	tert-butyl 4-(2-aminoethyl)piperidine-1-carboxylate		4	paper	Europe PMC	"""tert-butyl 4-(2-aminoethyl)piperidine-1-carboxylate"""	exact_name	medium	Discovery and In Vivo Efficacy of Trace Amine-Associated Receptor 1 (TAAR1) Agonist 4-(2-Aminoethyl)-<i>N</i>-(3,5-dimethylphenyl)piperidine-1-carboxamide Hydrochloride (AP163) for the Treatment of Psychotic Disorders.	2022	36232878	https://doi.org/10.3390/ijms231911579	Krasavin M, Peshkov AA, Lukin A, Komarova K, Vinogradova L, Smirnova D, Kanov EV, Kuvarzin SR, Murtazina RZ, Efimova EV, Gureev M, Onokhin K, Zakharov K, Gainetdinov RR.	Int J Mol Sci	
WX604022	CC(C)(C)OC(=O)N1CCC(CCN)CC1	1514258	LBQDLHPFISVBRU-UHFFFAOYSA-N	tert-butyl 4-(2-aminoethyl)piperidine-1-carboxylate		4	paper	Europe PMC	"""tert-butyl 4-(2-aminoethyl)piperidine-1-carboxylate"""	exact_name	medium	Systematic Design of Adenosine Analogs as Inhibitors of a <i>Clostridioides difficile-</i>Specific DNA Adenine Methyltransferase Required for Normal Sporulation and Persistence.	2023	36581322	https://doi.org/10.1021/acs.jmedchem.2c01789	Zhou J, Horton JR, Menna M, Fiorentino F, Ren R, Yu D, Hajian T, Vedadi M, Mazzoccanti G, Ciogli A, Weinhold E, Hüben M, Blumenthal RM, Zhang X, Mai A, Rotili D, Cheng X.	J Med Chem	
WX604022	CC(C)(C)OC(=O)N1CCC(CCN)CC1	1514258	LBQDLHPFISVBRU-UHFFFAOYSA-N	tert-butyl 4-(2-aminoethyl)piperidine-1-carboxylate		4	paper	Europe PMC	"""tert-butyl 4-(2-aminoethyl)piperidine-1-carboxylate"""	exact_name	medium	Small molecule protein assembly modulators with pan-cancer therapeutic efficacy.	2024	39689856	https://doi.org/10.1098/rsob.240210	Lingappa AF, Akintunde O, Samueli E, Ewald C, Michon M, Ziari N, Lu M, Yu SF, Froehlich M, Le PU, Fernandez Y, Mallesh S, Lin J, Kitaygorodskyy A, Solas D, Reed JC, Lingappa JR, Müller-Schiffmann A, Korth C, Prasad D, Nalca A, Aston E, Fabbri B, Anand SK, Campi TW, Petrouski E, Dey D, Andrews DW, Rubenstein JL, Lingappa VR.	Open Biol	
WX600190	Cc1cccc(C)c1OC[C@H](C)N	185376	VLPIATFUUWWMKC-JTQLQIEISA-N	(2S)-1-(2,6-dimethylphenoxy)propan-2-amine		0												
WX601268	CC(C)(C)OC(=O)N1CCCC(O)(CN)CC1	56698914	IXTYMZYBENRBEC-UHFFFAOYSA-N	tert-butyl 4-(aminomethyl)-4-hydroxyazepane-1-carboxylate		0												
WX665178	CC(C)CCNC(=O)[C@@H](N)CC(C)C	10917115	HCDLAJHOIWLVLK-JTQLQIEISA-N	(2S)-2-amino-4-methyl-N-(3-methylbutyl)pentanamide		0												
